Material,Class Type,Class No,Class Desc,Class Key Word,Internal char no.,Characteristic Value,Value from,Value to,Code
90000371,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_INSULATION,38:1,0,0,1
90000372,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,RIGHT ANGLE,0,0,1
90000372,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM,,86,0,1
90000372,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.5,0,1
90000372,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,20.0:1,0,0,1
90000373,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM,,330,0,1
90000373,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,1,0,1
90000373,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,5:1,0,0,1
90000374,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_REDUCTIONS,2,0,0,1
90000374,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM,,11,0,1
90000374,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,3,0,1
90000374,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,159:61:1,0,0,1
90000375,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM,,94,0,1
90000375,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,2,0,1
90000375,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,18.8:1,0,0,1
90001495,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,18.5,0,1
90001495,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM,,16,0,1
90001495,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.5,0,1
90001495,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,109.5:1,0,0,1
90001496,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,2242.5,0,1
90001496,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,2,0,1
90001496,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_LUBE_TYPE,PAR SFT,0,0,1
90001496,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,109.49:1,0,0,1
90001497,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90001497,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.16,0,1
90001497,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_RPM,,227,0,1
90001497,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,7.5:1,0,0,1
90001498,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM,,69,0,1
90001498,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.5,0,1
90001498,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,25:1,0,0,1
90007402,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,10,0,1
90007402,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,39.3:1,0,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,M3,0,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,7.08,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,0.75,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_CONDUIT_BOX_POSITION,2,0,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.5,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,4.62:1,0,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,372,0,1
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SERVICE_FACTOR_1,,7.5,0,1
90008167,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008167,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_MM,,25,0,1
90008167,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008167,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,1,0,1
90008167,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,17.61:1,0,0,1
90008167,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,94,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_INSULATION,CLASS F,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,M4,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,35.08,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_GEAR_LUBE_NAME,MOBILGEAR 600,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_GEAR_LUBE_TYPE,XP220,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_DUTY,S1,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.75,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_RPM,,1710,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_ENCLOSURE_TYPE,IP55,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,15.23:1,0,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,112,0,1
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SERVICE_FACTOR_1,,2,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_INSULATION,155,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,M1,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_GEAR_LUBE_NAME,MINERAL OIL,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_GEAR_LUBE_TYPE,VG220,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,4,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_KW,,3,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_ENCLOSURE_TYPE,IP54,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,109.93:1,0,0,1
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,16,0,1
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
