Colonne3,Class Type,Internal class no.,Colonne1,Colonne2,Item Number
90000371,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90000372,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90000373,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90000374,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90000375,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90001495,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90001496,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90001497,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90001498,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90003608,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90007401,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90007402,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008030,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008167,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008168,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008169,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008260,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008291,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008292,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90011555,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90012044,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,10
90000228,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000229,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000230,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000231,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000232,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000233,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000234,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000235,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000236,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000237,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000238,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90000239,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90001359,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90002333,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90002334,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
90002335,001,344,U26111503_DRV_VRF,DRIVE VARIABLE FREQ,10
