Functional Location,Plnt,BOM Usg,Item,Component,Quantity,Un,Un,A
1715-05-01-08-16A-02A-016-0001,1715,4,0240,90000501,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0220,90000694,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0210,90000693,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0060,90000981,4,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0070,90000983,4,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0080,90000985,2,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0100,90000537,2,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0120,90000265,5,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0130,90000535,4,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0140,90000125,10,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0150,90000126,4,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0160,90000039,2,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0170,90000040,2,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0230,90000742,2,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0260,90000170,27,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0190,90000909,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0200,90000188,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0110,90000264,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0180,90000908,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0090,90001033,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0010,90001024,2,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0020,90001025,3,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0030,90001028,2,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0040,90001029,3,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0050,90000979,2,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0270,90000351,1,EA,EA,C
1715-05-01-08-16A-02A-016-0001,1715,4,0250,90000502,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0300,90000501,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0280,90000694,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0260,90000188,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0250,90000909,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0240,90000908,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0230,90000057,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0220,90000040,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0310,90000502,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0330,90000351,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0070,90001028,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0210,90000039,2,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0200,90000126,4,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0180,90000535,4,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0170,90000265,8,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0150,90000537,2,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0120,90000985,2,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0110,90000983,4,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0100,90000981,4,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0090,90000979,2,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0080,90001029,4,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0060,90001027,2,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0050,90001026,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0010,90001022,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0130,90001032,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0190,90000125,16,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0270,90000693,2,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0290,90000742,6,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0320,90000170,45,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0160,90000263,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0140,90001033,1,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0040,90001025,4,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0020,90001023,2,EA,EA,C
1715-05-01-08-16A-02B-016-0002,1715,4,0030,90001024,1,EA,EA,C
1715-01-80-20-92A-02A,1715,4,0020,90003347,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0080,90003352,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0070,90003357,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0010,90003358,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0060,90003350,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0030,90003348,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0090,90003346,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0100,90003377,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0040,90003354,1,EA,EA,B
1715-01-80-20-92A-02A,1715,4,0050,90003360,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0090,90003346,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0100,90003377,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0010,90003358,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0030,90003348,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0040,90003354,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0050,90003360,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0060,90003350,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0070,90003357,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0080,90003352,1,EA,EA,B
1715-01-80-20-92A-02B,1715,4,0020,90003347,1,EA,EA,B
1715-01-80-20-92A-02D,1715,4,0010,90003369,1,EA,EA,B
1715-01-80-20-92A-02D,1715,4,0020,90003366,1,EA,EA,B
1715-01-80-20-92A-02D,1715,4,0030,90003367,1,EA,EA,B
1715-01-80-20-92A-02D,1715,4,0040,90003368,1,EA,EA,B
1715-01-80-20-92A-02D,1715,4,0070,90003376,1,EA,EA,B
1715-01-80-20-92A-02D,1715,4,0050,90003350,2,EA,EA,B
1715-01-80-20-92A-02D,1715,4,0060,90003349,2,EA,EA,B
1715-05-01-08-16A-02C-016-0003,1715,4,0100,90001034,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0090,90001032,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0170,90000039,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0190,90000057,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0120,90000263,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0180,90000040,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0250,90000742,12,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0280,90000170,72,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0290,90000351,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0270,90000502,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0020,90001023,9,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0030,90001026,2,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0040,90001027,9,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0050,90000977,2,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0240,90000694,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0230,90000693,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0010,90001022,2,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0260,90000501,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0220,90000188,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0210,90000909,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0200,90000908,1,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0060,90000978,4,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0070,90000980,4,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0080,90000982,2,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0110,90000537,2,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0130,90000265,11,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0140,90000535,4,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0150,90000125,22,EA,EA,C
1715-05-01-08-16A-02C-016-0003,1715,4,0160,90000126,5,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0160,90000908,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0150,90000057,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0140,90000040,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0130,90000039,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0080,90000263,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0060,90001034,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0050,90001032,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0030,90001026,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0020,90001023,6,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0040,90001027,6,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0070,90000537,2,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0090,90000265,7,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0100,90000535,2,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0110,90000125,14,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0120,90000126,5,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0210,90000742,12,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0250,90000351,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0230,90000502,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0220,90000501,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0200,90000694,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0190,90000693,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0170,90000909,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0240,90000170,61,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0010,90001022,1,EA,EA,C
1715-05-01-08-16A-02D-016-0004,1715,4,0180,90000188,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0290,90000351,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0270,90000502,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0260,90000501,1,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0280,90000170,44,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0250,90000742,4,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0160,90000126,5,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0150,90000125,22,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0140,90000535,6,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0130,90000265,11,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0110,90000537,2,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0080,90000982,4,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0070,90000980,8,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0060,90000978,8,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0050,90000977,4,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0040,90001027,8,EA,EA,C
1715-05-01-08-16A-02E-016-0005,1715,4,0030,90001026,3,EA,EA,C
