"Material";"Plant";"Material Description";"HasStock";"DUPLICATE_REFERENCE";"MANUFACTURER/VENDOR";"PART_NUMBER";"M";"Utopia_OEMFlag";"Z011_NotOEM";"count(Characteristic Value)";"maximum(Criticality)";"count(BOM Usg)";"CLASS";"MFRPN";"MFRNR";"Class1";"Class2";"Fournisseur";"Priority"
90017814;2241;"BRGN BALL RAD SKF/6202-2Z";;;;;;;;;;;;;;;;;0
90017815;2241;"BRGN GROOVE BALL SKF/6201-2RSH";;;;;;;;;;;;;;;;;0
90017816;2241;"BRGN BALL RAD SKF/6203-2Z/C3";;;;;;;;;;;;;;;;;0
90017817;2241;"BRGN BALL RAD SKF/6206-2RS1/C3";;;;;;;;;;;;;;;;;0
90017818;2241;"BRGN BALL RAD SKF/6207-2RS1";;;;;;;;;;;;;;;;;0
90017819;2241;"BRGN BALL RAD SKF/6207-2RS1NR";;;;;;;;;;;;;;;;;0
90017820;2241;"BRGN BALL RAD SKF/6208-2Z/C3";;;;;;;;;;;;;;;;;0
90017821;2241;"BRGN BALL RAD SKF/6210-2RS1";;;;;;;;;;;;;;;;;0
90017822;2241;"BRGN BALL RAD SKF/6211-2RS1";;;;;;;;;;;;;;;;;0
90017823;2241;"BRGN BALL RAD SKF/6213-2RS1";;;;;;;;;;;;;;;;;0
90017824;2241;"BRGN BALL RAD SKF/6202-2RSH";;;;;;;;;;;;;;;;;0
90017825;2241;"BALL BRGN 15.875MM SKF/6203/15.875-2RSH";;;;;;;;;;;;;;;;;0
90017826;2241;"BRGN BALL RAD SKF/6211/C3";;;;;;;;;;;;;;;;;0
90017827;2241;"BRGN BALL RAD SKF/6212-2RS1NR";;;;;;;;;;;;;;;;;0
90017828;2241;"BRGN BALL RAD SKF/6202/15.875-2LS/LT10";;;;;;;;;;;;;;;;;0
90017829;2241;"J BRAKE W/O BRACKET-DRUM NEXEN GP/841600";;;;;;;;;;;;;;;;;0
90017830;2241;"BRGN BALL RAD SKF/6206-2RS1NR";;;;;;;;;;;;;;;;;0
90017831;2241;"BRGN BALL RAD SKF/6208-2Z";;;;;;;;;;;;;;;;;0
90017832;2241;"BELT V GATES/5VX1600";;;;;;;;;;;;;;;;;0
90017833;2241;"BELT V 3750MM JASON/SPA3750";;;;;;;;;;;;;;;;;0
90017834;2241;"BRGN BALL RAD SKF/6204-2RSH";;;;;;;;;;;;;;;;;0
90017835;2241;"BRGN BALL RAD SKF/6204-2Z";;;;;;;;;;;;;;;;;0
90017836;2241;"BRGN BALL RAD SKF/6205-2RSH/C3";;;;;;;;;;;;;;;;;0
90017837;2241;"BRGN BALL RAD SKF/6209-2RS1";;;;;;;;;;;;;;;;;0
90017838;2241;"TRANS BELT TRANSF B/L500/ESDT 455X40MM";;;;;;;;;;;;;;;;;0
90017839;2241;"PRESS RED VALVE WATTS W TECH/0009100";;;;;;;;;;;;;;;;;0
90017840;2241;"DRAIN AUTOM READING TECH/N32-95-979";;;;;;;;;;;;;;;;;0
90017841;2241;"TRANS BELT TRANSF B/L1000/ESDT 1920X50MM";;;;;;;;;;;;;;;;;0
