Material,Plant,TotalStock
90000000,1715,1.000
90000001,1715,0.000
90000002,1715,1.000
90000003,1715,0.000
90000004,1715,0.000
90000005,1715,1.000
90000006,1715,0.000
90000007,1715,0.000
90000008,1715,4.000
90000009,1715,0.000
90000010,1715,0.000
90000011,1715,1.000
90000012,1715,0.000
90000013,1715,3.000
90000014,1715,3.000
90000015,1715,2.000
90000016,1715,2.000
90000017,1715,8.000
90000018,1715,1.000
90000019,1715,2.000
90000020,1715,2.000
90000021,1715,2.000
90000022,1715,4.000
90000023,1715,1.000
90000024,1715,2.000
90000025,1715,3.000
90000026,1715,2.000
90000027,1715,2.000
90000028,1715,2.000
90000029,1715,1.000
90000030,1715,4.000
90000031,1715,1.000
90000032,1715,2.000
90000033,1715,1.000
90000034,1715,2.000
90000035,1715,2.000
90000036,1715,1.000
90000037,1715,0.000
90000038,1715,1.000
90000039,1715,2.000
90000040,1715,2.000
90000041,1715,0.000
90000042,1715,2.000
90000043,1715,1.000
90000044,1715,1.000
90000045,1715,2.000
90000046,1715,0.000
90000047,1715,1.000
90000048,1715,1.000
90000049,1715,1.000
90000050,1715,3.000
90000051,1715,2.000
90000052,1715,6.000
90000053,1715,0.000
90000054,1715,0.000
90000055,1715,1.000
90000056,1715,0.000
90000057,1715,1.000
90000058,1715,1.000
90000059,1715,0.000
90000060,1715,0.000
90000061,1715,0.000
90000062,1715,1.000
90000063,1715,0.000
90000064,1715,0.000
90000065,1715,0.000
90000066,1715,0.000
90000067,1715,1.000
90000068,1715,2.000
90000069,1715,2.000
90000070,1715,0.000
90000071,1715,0.000
90000072,1715,0.000
90000073,1715,0.000
90000074,1715,0.000
90000075,1715,0.000
90000076,1715,0.000
90000077,1715,1.000
90000078,1715,1.000
90000079,1715,2.000
90000080,1715,2.000
90000081,1715,1.000
90000082,1715,0.000
90000083,1715,0.000
90000084,1715,0.000
90000085,1715,0.000
90000086,1715,1.000
90000087,1715,2.000
90000088,1715,31.000
90000089,1715,1.000
90000090,1715,2.000
90000091,1715,2.000
90000092,1715,2.000
90000093,1715,2.000
90000094,1715,4.000
90000095,1715,2.000
90000096,1715,2.000
90000097,1715,2.000
90000098,1715,2.000
90000099,1715,2.000
90000100,1715,2.000
90000101,1715,1.000
90000102,1715,2.000
90000103,1715,2.000
90000104,1715,1.000
90000105,1715,2.000
90000106,1715,1.000
90000107,1715,1.000
90000108,1715,0.000
90000109,1715,2.000
90000110,1715,0.000
90000111,1715,24.000
90000112,1715,9.000
90000113,1715,8.000
90000114,1715,15.000
90000115,1715,6.000
90000116,1715,1.000
90000117,1715,0.000
90000118,1715,2.000
90000119,1715,0.000
90000120,1715,1.000
90000121,1715,0.000
90000122,1715,0.000
90000123,1715,0.000
90000124,1715,0.000
90000125,1715,0.000
90000126,1715,0.000
90000127,1715,1.000
90000128,1715,1.000
90000129,1715,1.000
90000130,1715,2.000
90000131,1715,6.000
90000132,1715,1.000
90000133,1715,0.000
90000134,1715,0.000
90000135,1715,0.000
90000136,1715,0.000
90000137,1715,0.000
90000138,1715,0.000
90000139,1715,0.000
90000140,1715,0.000
90000141,1715,0.000
90000142,1715,0.000
90000143,1715,0.000
90000144,1715,0.000
90000145,1715,0.000
90000146,1715,0.000
90000147,1715,0.000
90000148,1715,0.000
90000149,1715,0.000
90000150,1715,0.000
90000151,1715,1.000
90000152,1715,1.000
90000153,1715,1.000
90000154,1715,8.000
90000155,1715,3.000
90000156,1715,2.000
90000157,1715,2.000
90000158,1715,1.000
90000159,1715,2.000
90000160,1715,1.000
90000161,1715,0.000
90000162,1715,1.000
90000163,1715,0.000
90000164,1715,0.000
90000165,1715,0.000
90000166,1715,0.000
90000167,1715,0.000
90000168,1715,1.000
90000169,1715,1.000
90000170,1715,12.000
90000171,1715,1.000
90000172,1715,1.000
90000173,1715,0.000
90000174,1715,0.000
90000175,1715,0.000
90000176,1715,0.000
90000177,1715,0.000
90000178,1715,0.000
90000179,1715,1.000
90000180,1715,7.000
90000181,1715,0.000
90000182,1715,0.000
90000183,1715,1.000
90000184,1715,0.000
90000185,1715,0.000
90000186,1715,1.000
90000187,1715,2.000
