blank,Material,Plant,Material Description,MRP Type,Valuation Class,Material Group,Base Unit of Measure,Price Unit,Price Control,Price,Material Type,Last Change,Created by
,90017814,2241,BRGN BALL RAD SKF/6202-2Z,PD,3040,U31162313,EA,1,V,0.01,ZER2,2018-11-12,U362KBOU
,90017815,2241,BRGN GROOVE BALL SKF/6201-2RSH,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017816,2241,BRGN BALL RAD SKF/6203-2Z/C3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017817,2241,BRGN BALL RAD SKF/6206-2RS1/C3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017818,2241,BRGN BALL RAD SKF/6207-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017819,2241,BRGN BALL RAD SKF/6207-2RS1NR,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017820,2241,BRGN BALL RAD SKF/6208-2Z/C3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017821,2241,BRGN BALL RAD SKF/6210-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017822,2241,BRGN BALL RAD SKF/6211-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017823,2241,BRGN BALL RAD SKF/6213-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017824,2241,BRGN BALL RAD SKF/6202-2RSH,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017825,2241,BALL BRGN 15.875MM SKF/6203/15.875-2RSH,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017826,2241,BRGN BALL RAD SKF/6211/C3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017827,2241,BRGN BALL RAD SKF/6212-2RS1NR,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017828,2241,BRGN BALL RAD SKF/6202/15.875-2LS/LT10,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017829,2241,J BRAKE W/O BRACKET-DRUM NEXEN GP/841600,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017830,2241,BRGN BALL RAD SKF/6206-2RS1NR,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017831,2241,BRGN BALL RAD SKF/6208-2Z,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017832,2241,BELT V GATES/5VX1600,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017833,2241,BELT V 3750MM JASON/SPA3750,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017834,2241,BRGN BALL RAD SKF/6204-2RSH,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017835,2241,BRGN BALL RAD SKF/6204-2Z,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017836,2241,BRGN BALL RAD SKF/6205-2RSH/C3,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017837,2241,BRGN BALL RAD SKF/6209-2RS1,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017838,2241,TRANS BELT TRANSF B/L500/ESDT 455X40MM,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017839,2241,PRESS RED VALVE WATTS W TECH/0009100,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017840,2241,DRAIN AUTOM READING TECH/N32-95-979,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017841,2241,TRANS BELT TRANSF B/L1000/ESDT 1920X50MM,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017842,2241,NON-RETURN VALVE AVENTIS/5340051000,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017843,2241,DR VALVE REXROTH/4WE6W6X/EG24N9K4/62=CSA,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
