COEMF REQUEST#,CIE,VENDOR,VENDOR PART #,Part# found in SAP Desc,Material Group,CLASS ID,CLASS DESCRIPTION,SAP PARTS DESCRIPTION FR,SAP PARTS DESCRIPTION EN,LENGTH,PCMC#,COMMENTS,STATUS,SAP#,RESP
361,3411,SKF CANADA,9308,,,,,JOINT HUILE LÈV.S 0.937X1.62X0.25PO CRW1,SEAL OIL S.LIP 0.937X1.624X0.25IN CRW1,40/38,SKF CANADA / 9308,3411v1808.10,PROD,90012878,
361,3411,SKF CANADA,12350,,,,,JOINT HUILE LÈV.D 1.25X1.68X0.31PO CRWA1,SEAL OIL D.LIP 1.25X1.687X0.3125IN CRWA1,40/40,SKF CANADA / 12350,3411v1808.10,PROD,90012976,
361,3411,SKF CANADA,13535,,,,,JOINT HUILE LÈV.D 1.37X1.87X0.31PO CRWA1,SEAL OIL D.LIP 1.375X1.874X0.315IN CRWA1,40/40,SKF CANADA / 13535,3411v1808.10,PROD,90012975,
361,3411,SKF CANADA,27541,,,,,JOINT HUILE LÈV.S 2.75X4.0X4.375PO CRWH1,SEAL OIL S.LIP 2.75X4.003X4.375IN CRWH1,40/39,SKF CANADA / 27541,3411v1808.10,PROD,90012972,
361,3411,REXNORD CANADA LIMITED,058647,,,,,RLMT BILLE TAKE-UP 2.00PO LCK COLLAR SM,BRG BALL TAKE-UP 2.00IN LCK COLLAR SM,39/37,REXNORD CANADA LIMITED / 058647,3411v1808.10,PROD,90012861,
361,3411,Rexnord,0359834,,,,,HUB WFLEX 30R RSB 2.38PO 0.875X3.44PO AC,HUB WFLEX 30R RSB 2.38IN 0.875X3.44IN ST,40/40,REXNORD / 0359834,3411v1808.10,PROD,90012875,
361,3411,Falk,436990,90012874,,,,COUVERT NYLON 30R FALK 436990,COVER NYLON 30R FALK 436990,29/27,FALK / 436990,3411v1808.10,PROD,90012874,
361,3411,Rexnord,0789351,90014074,,,,HUB WFLEX 30R HSB 2.28PO 1.75X4.13PO AC,HUB WFLEX 30R HSB 2.28IN 1.75X4.13IN ST,39/39,REXNORD / 0789351,3411v1808.10,PROD,90012876,
361,3411,Rexnord,7300666,,,,,HUB 30R HSB 2.37PO RAIN 5/8X5/16PO AC,HUB 30R HSB 2.37IN KW 5/8X5/16IN ST,37/35,REXNORD / 7300666,3411v1808.10,PROD,90012877,
361,3411,MarquipWardUnited,9113670,,,,,BLOC LEAD SCREW CARRIER 1500 (9113670),BLOCK LEAD SCREW CARRIER 1500 (9113670),38/39,MARQUIPWARDUNITED / 9113670,3411v1808.10,PROD,90012872,
361,3411,MARTIN SPROCKET AND GEAR CDNA ,10018CHN ,,,,,CHAÎNE D'ACCOUPLEMENT TAILLE100 LIENS/18,COUPLING CHAIN SIZE 100 LINKS # 18,40/34,MARTIN SPROCKET AND GEAR CDNA  / 10018CHN ,3411v1808.10,PROD,90012819,
361,3411,SKF CANADA,1207ETN9,,,,,RLMT BILLE SELF.AL 35MMX72MMX17MM OVT C0,BRG BALL SELF.AL 35MMX72MMX17MM OPEN C0,40/39,SKF CANADA / 1207ETN9,3411v1808.10,PROD,90012862,
361,3411,NSK CANADA INC ,1217-5/8ECG ,,,,,ROULEMENT BILLES 0.625PO 1.575PO 0.472PO,BEARING BALL INS EC 0.625X1.575X0.472IN,40/39,NSK CANADA INC  / 1217-5/8ECG ,3411v1808.10,PROD,90012846,
361,3411,WC Braham,1250-9045,,,,,KIT RÉPAR CC25 CÂBLE CYL T-O-M BRAND,KIT REPAIR CC25 CABLE CYL T-O-M BRAND,36/37,WC BRAHAM / 1250-9045,3411v1808.10,PROD,90012868,
