Material Type,Material Group,Material,Description,Base Unit,BatchManagement,Configurable,Mfr Part Number,Manufacturer,Material locked,Division,Supply source,W/ empties BOM
ZER2,U25172011,90000000,ABSORBER SHOCK PCMC 30007829,EA,,,,,,,,
ZER2,U31251511,90000001,ACTUATOR LINEAR PCMC 30046223 340MM,EA,,,,,,,,
ZER2,U31251511,90000002,ACTUATOR LINEAR PCMC 30290059 340MM,EA,,,,,,,,
ZER2,U40101701,90000003,AIR CONDITIONER PCMC 30200797,EA,,,,,,,,
ZER2,U40101701,90000004,AIR CONDITIONER PCMC 30348774 4900BTM,EA,,,,,,,,
ZER2,U23231202,90000005,ARBOR BLADE PCMC 30502995,EA,,,,,,,,
ZER2,U31171504,90000006,BEARING BALL INFINITY 511-0251 20MM 42MM,EA,,,,,,,,
ZER2,U31171504,90000007,BEARING BALL INFINITY 511-0251A 20MM,EA,,,,,,,,
ZER2,U31171504,90000008,BEARING BALL INFINITY 511-0323 25MM 52MM,EA,,,,,,,,
ZER2,U31171504,90000009,BEARING BALL INFINITY 511-0345 12MM 28MM,EA,,,,,,,,
ZER2,U31171504,90000010,BEARING BALL PCMC 10117A1774 50MM 72MM,EA,,,,,,,,
ZER2,U31171504,90000011,BEARING BALL PCMC 123359.001.0 25MM 52MM,EA,,,,,,,,
ZER2,U31171504,90000012,BEARING BALL PCMC 150410.005.5 95MM,EA,,,,,,,,
ZER2,U31171504,90000013,BEARING BALL PCMC 160001.101.2 12MM 32MM,EA,,,,,,,,
ZER2,U31171504,90000014,BEARING BALL PCMC 160005.007.2 35MM 72MM,EA,,,,,,,,
ZER2,U31171504,90000015,BEARING BALL PCMC 160005.008.2 40MM 80MM,EA,,,,,,,,
ZER2,U31171504,90000016,BEARING BALL PCMC 160005.010.2 50IN 90MM,EA,,,,,,,,
ZER2,U31171504,90000017,BEARING BALL PCMC 160006.012.2 190MM,EA,,,,,,,,
ZER2,U31171504,90000018,BEARING BALL PCMC 160010.012.2 60MM 95MM,EA,,,,,,,,
ZER2,U31171504,90000019,BEARING BALL PCMC 160010.014.2 70MM,EA,,,,,,,,
ZER2,U31171504,90000020,BEARING BALL PCMC 160025.016.1 1.00IN,EA,,,,,,,,
ZER2,U31171504,90000021,BEARING BALL PCMC 160025.704.1 20MM,EA,,,,,,,,
ZER2,U31171504,90000022,BEARING BALL PCMC 160025.705.1 25MM,EA,,,,,,,,
ZER2,U31171504,90000023,BEARING BALL PCMC 160025.706.1 30MM,EA,,,,,,,,
ZER2,U31171504,90000024,BEARING BALL PCMC 160025.707.1 35MM,EA,,,,,,,,
ZER2,U31171504,90000025,BEARING BALL PCMC 160025.708.1 40MM,EA,,,,,,,,
ZER2,U31171504,90000026,BEARING BALL PCMC 160025.709.1 45MM,EA,,,,,,,,
ZER2,U31171504,90000027,BEARING BALL PCMC 160025.710.1 50MM,EA,,,,,,,,
ZER2,U31171504,90000028,BEARING BALL PCMC 160028.130.0 30MM,EA,,,,,,,,
ZER2,U31171504,90000029,BEARING BALL PCMC 160028.140.0 40MM,EA,,,,,,,,
ZER2,U31171504,90000030,BEARING BALL PCMC 160032.208.2 UNIT,EA,,,,,,,,
ZER2,U31171504,90000031,BEARING BALL PCMC 18762 90MM 160MM,EA,,,,,,,,
ZER2,U31171504,90000032,BEARING BALL PCMC 30507700 20MM 52MM,EA,,,,,,,,
ZER2,U31171504,90000033,BEARING BALL PCMC 30516490 30MM 72MM,EA,,,,,,,,
ZER2,U31171504,90000034,BEARING BALL PCMC 30589303 3.14IN 2.08IN,EA,,,,,,,,
ZER2,U31171504,90000035,BEARING BALL PCMC 30589310 3.14IN 1.93IN,EA,,,,,,,,
ZER2,U31171504,90000036,BEARING BALL PCMC 36133 35MM,EA,,,,,,,,
ZER2,U31171530,90000037,BEARING CAM FOLLOWER INFINITY 517-0032,EA,,,,,,,,
ZER2,U31171530,90000038,BEARING CAM FOLLOWER PCMC 36275 90MM,EA,,,,,,,,
ZER2,U31171501,90000039,BEARING FLANGED INFINITY 512-0003 1.0IN,EA,,,,,,,,
ZER2,U31171501,90000040,BEARING FLANGED INFINITY 512-0007 1.25IN,EA,,,,,,,,
ZER2,U31171501,90000041,BEARING FLANGED INFINITY 512-0061A 25MM,EA,,,,,,,,
ZER2,U31171501,90000042,BEARING FLANGED PCMC 160032.312.2 60MM,EA,,,,,,,,
ZER2,U31171501,90000043,BEARING FLANGED PCMC 160032.412.2 60MM,EA,,,,,,,,
ZER2,U31171501,90000044,BEARING FLANGED PCMC 160832.208.2 40MM,EA,,,,,,,,
ZER2,U31171501,90000045,BEARING FLANGED PCMC 160832.405.2 25MM,EA,,,,,,,,
ZER2,U31171501,90000046,BEARING FLANGED PCMC 30190639 90MM,EA,,,,,,,,
ZER2,U31171501,90000047,BEARING FLANGED PCMC 30190641 85MM,EA,,,,,,,,
ZER2,U31171501,90000048,BEARING FLANGED PCMC 30507362 25MM,EA,,,,,,,,
ZER2,U31171501,90000049,BEARING FLANGED PCMC 30743634 50MM,EA,,,,,,,,
ZER2,U31171501,90000050,BEARING FLANGED PCMC 36131 25MM 2 BOLTS,EA,,,,,,,,
ZER2,U31171501,90000051,BEARING FLANGED PCMC 72569 35MM,EA,,,,,,,,
ZER2,U31171506,90000052,BEARING LINEAR PCMC 30081169 20MM 45MM,EA,,,,,,,,
ZER2,U31171506,90000053,BEARING LINEAR PCMC 30500217 190MM,EA,,,,,,,,
ZER2,U31171506,90000054,BEARING LINEAR PCMC 30500233 190MM,EA,,,,,,,,
ZER2,U31171506,90000055,BEARING LINEAR PCMC 30510757 30MM 50MM,EA,,,,,,,,
ZER2,U31171506,90000056,BEARING LINEAR PCMC 74659,EA,,,,,,,,
ZER2,U31171511,90000057,BEARING PILLOW BLOCK INFINITY 515-0004,EA,,,,,,,,
ZER2,U31171511,90000058,BEARING PILLOW BLOCK PCMC 30367932 ASSY,EA,,,,,,,,
ZER2,U31171508,90000059,BEARING ROD END INFINITY 516-0046 .37IN,EA,,,,,,,,
ZER2,U31171508,90000060,BEARING ROD END INFINITY 516-0046A .37IN,EA,,,,,,,,
ZER2,U31171508,90000061,BEARING ROD END PCMC 121167 50MM,EA,,,,,,,,
ZER2,U31171508,90000062,BEARING ROD END PCMC 134153.115.0 16MM,EA,,,,,,,,
ZER2,U31171508,90000063,BEARING ROD END PCMC 30452664 16MM 16MM,EA,,,,,,,,
ZER2,U31171508,90000064,BEARING ROD END PCMC 30452676 16MM 16MM,EA,,,,,,,,
ZER2,U31171508,90000065,BEARING ROD END PCMC 30521986 20MM 20MM,EA,,,,,,,,
ZER2,U31171505,90000066,BEARING ROLLER PCMC 120217.001.0 150MM,EA,,,,,,,,
ZER2,U31171505,90000067,BEARING ROLLER PCMC 151596.001.0 60MM,EA,,,,,,,,
ZER2,U31171505,90000068,BEARING ROLLER PCMC 160050.222.9 110MM,EA,,,,,,,,
ZER2,U31171505,90000069,BEARING ROLLER PCMC 160055.230.9 150MM,EA,,,,,,,,
ZER2,U31171505,90000070,BEARING ROLLER PCMC 160060.218.9 90MM,EA,,,,,,,,
ZER2,U31171505,90000071,BEARING ROLLER PCMC 30193745 80MM TAPER,EA,,,,,,,,
ZER2,U31171505,90000072,BEARING ROLLER PCMC 30513531 160MM 240MM,EA,,,,,,,,
ZER2,U31171505,90000073,BEARING ROLLER PCMC 30513537 150MM 225MM,EA,,,,,,,,
ZER2,U31171505,90000074,BEARING ROLLER PCMC 30513723 70MM 150MM,EA,,,,,,,,
ZER2,U31171505,90000075,BEARING ROLLER PCMC 30513732 65MM 140MM,EA,,,,,,,,
ZER2,U31171505,90000076,BEARING ROLLER PCMC 30513735 85MM 140MM,EA,,,,,,,,
ZER2,U31171505,90000077,BEARING ROLLER PCMC 30516469 50MM 110MM,EA,,,,,,,,
ZER2,U31171505,90000078,BEARING ROLLER PCMC 30516498 70MM 110MM,EA,,,,,,,,
ZER2,U31171505,90000079,BEARING ROLLER PCMC 37782 20MM 26MM NDL,EA,,,,,,,,
ZER2,U31171510,90000080,BEARING SPHERICAL PCMC 150593.103.0 20MM,EA,,,,,,,,
ZER2,U31171510,90000081,BEARING SPHERICAL PCMC 30510835 15MM,EA,,,,,,,,
ZER2,U31171510,90000082,BEARING SPHERICAL PCMC 30513172 20MM,EA,,,,,,,,
ZER2,U31171510,90000083,BEARING SPHERICAL PCMC 30513178 50MM,EA,,,,,,,,
ZER2,U31171507,90000084,BEARING THRUST PCMC 30513168 30MM 90MM,EA,,,,,,,,
ZER2,U26111804,90000085,BELT INFINITY 101-7016E 56IN 6IN,EA,,,,,,,,
ZER2,U26111804,90000086,BELT INFINITY 101-7019E 97IN 6IN,EA,,,,,,,,
ZER2,U26111802,90000087,BELT INFINITY 250-30HTD8M1584,EA,,,,,,,,
ZER2,U26111803,90000088,BELT INFINITY 553-0013 CLEAR,EA,,,,,,,,
ZER2,U26111804,90000089,BELT PCMC 110174,EA,,,,,,,,
ZER2,U26111802,90000090,BELT TIMING PCMC 131678.019.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000091,BELT TIMING PCMC 131678.023.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000092,BELT TIMING PCMC 131678.025.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000093,BELT TIMING PCMC 131678.512.0 8MM 30MM,EA,,,,,,,,
ZER2,U26111802,90000094,BELT TIMING PCMC 131678.514.0 8MM,EA,,,,,,,,
ZER2,U26111802,90000095,BELT TIMING PCMC 131678.516.0 8MM 30MM,EA,,,,,,,,
ZER2,U26111802,90000096,BELT TIMING PCMC 131678.519.0 8MM 20MM,EA,,,,,,,,
ZER2,U26111802,90000097,BELT TIMING PCMC 131678.520.0 8MM 30MM,EA,,,,,,,,
ZER2,U26111802,90000098,BELT TIMING PCMC 131678.521.0 8MM,EA,,,,,,,,
ZER2,U26111802,90000099,BELT TIMING PCMC 131678.530.0 8MM 30MM,EA,,,,,,,,
ZER2,U26111802,90000100,BELT TIMING PCMC 131678.537.0 8MM,EA,,,,,,,,
ZER2,U26111802,90000101,BELT TIMING PCMC 131678.540.0 8MM 800 PL,EA,,,,,,,,
ZER2,U26111802,90000102,BELT TIMING PCMC 132908.039.0 8MM 20MM,EA,,,,,,,,
ZER2,U26111802,90000103,LT TIMING PCMC 132908.062.0 8MM 20MM,EA,,,,,,,,
ZER2,U26111802,90000104,BELT TIMING PCMC 152016.003.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000105,BELT TIMING PCMC 153250.215.0 8MM 20MM,EA,,,,,,,,
ZER2,U26111802,90000106,BELT TIMING PCMC 153250.246.0 8MM 50MM,EA,,,,,,,,
