Z011VendorNo,Z011VendorName,VendorNames,n,weight,N,prob,weightedScore
50000,3M,3M,16,1,16,1,1
50001,ACE,ACE,5,1,5,1,1
50002,AIRMAX INDUSTRIES,AIRMAX INDUSTRIES,21,1,42,0.5,0.5
50002,AIRMAX INDUSTRIES,AIRMAX INDUSTRIES INC,21,0.25,42,0.5,0.125
50003,ALKON,ALKON,36,1,36,1,1
50004,ALLENBRADLEY,ALLEN-BRADLEY,243,1,714,0.3403361344537815,0.3403361344537815
50004,ALLENBRADLEY,ALLEN BRADLEY,69,1,714,0.09663865546218488,0.09663865546218488
50004,ALLENBRADLEY,ALLENBRADLEY,1,1,714,0.0014005602240896359,0.0014005602240896359
50004,ALLENBRADLEY,ROCKWELL,158,0.09090909090909091,714,0.22128851540616246,0.020117137764196588
50004,ALLENBRADLEY,ROCKWELL AUTOMATION,243,0.0625,714,0.3403361344537815,0.021271008403361345
50005,ALLIANCE,ALLIANCE,626,1,626,1,1
50006,ALPHA,ALPHA,2,1,2,1,1
50007,AMPHENOL,AMPHENOL,2,1,2,1,1
50009,ANSELL,ANSELL,1,1,2,0.5,0.5
50009,ANSELL,ANSELLS,1,1,2,0.5,0.5
50010,CROUSEHINDS,CROUSE-HINDS,1,1,2,0.5,0.5
50010,CROUSEHINDS,CROUSEHINDS,1,1,2,0.5,0.5
50011,ARPAC,ARPAC,326,1,326,1,1
50012,ASCO,ASCO,43,1,43,1,1
50014,AUBURN,AUBURN,2,1,2,1,1
50015,AUTOMATION CONTROLS GROUP,AUTOMATIONCONTROLS,1,0.14285714285714285,1,1,0.14285714285714285
50016,BALDOR,BALDOR,18,1,18,1,1
50017,BALEMASTER,BALEMASTER,117,1,117,1,1
50018,BALLUFF,BALLUFF,4,1,4,1,1
50019,BANDO,BANDO,1,1,1,1,1
50020,BANNER ENGINEERING,BANNER,12,0.08333333333333333,29,0.41379310344827586,0.034482758620689655
50020,BANNER ENGINEERING,BANNER ENGINEERING,17,1,29,0.5862068965517241,0.5862068965517241
50021,BARKSDALE,BARKSDALE,4,1,4,1,1
50022,BHS,BHS,1936,1,1936,1,1
50023,BIMBA,BIMBA,4,1,4,1,1
50024,BISHOP WISECARVER,BISHOP WISECARVER,2,1,2,1,1
50025,BONDHUS,BONDHUS,4,1,4,1,1
50026,BOSCH REXROTH,BOSCH REXROTH,9,1,10,0.9,0.9
50026,BOSCH REXROTH,BOSCH REXROTH CANADA CORP,1,0.08333333333333333,10,0.1,0.008333333333333333
50027,BRADY,BRADY,10,1,10,1,1
50028,BRECOFLEX,BRECOFLEX,3,1,3,1,1
50029,BRETTING,BRETTING,577,1,577,1,1
50030,BREWER,BREWER,3,1,3,1,1
50031,BUSSMANN,BUSSMAN,1,1,46,0.021739130434782608,0.021739130434782608
50031,BUSSMANN,BUSSMANN,45,1,46,0.9782608695652174,0.9782608695652174
50032,CM CONVEYOR,CM CONV,1,0.25,166,0.006024096385542169,0.0015060240963855422
50032,CM CONVEYOR,CM CONVEYOR,165,1,166,0.9939759036144579,0.9939759036144579
50033,CAMCORP,CAMCORP,1,1,1,1,1
50034,CARDONE,CARDONE,2,1,2,1,1
50035,CARLISLE,CARLISLE,12,1,12,1,1
50036,CARLO GAVAZZI,CARLO GAVAZZI,8,1,8,1,1
50037,CHEMLINE,CHEMLINE,6,1,6,1,1
50038,CHENGDU WEST IND,CHENGDU WEST IND,7,1,14,0.5,0.5
50038,CHENGDU WEST IND,CHENGDU WEST INDUSTRY CO LTD,7,0.08333333333333333,14,0.5,0.041666666666666664
50039,CHICAGO RAWHIDE,CHICAGO RAWHIDE,45,1,45,1,1
50040,CLIMAX,CLIMAX,2,1,2,1,1
50041,CLIPPARD,CLIPPARD,5,1,5,1,1
50042,COMBIFLEX,COMBIFLEX,4,1,4,1,1
50043,CONDOR,CONDOR,2,1,2,1,1
50044,CONDUCTIX,CONDUCTIX,4,1,4,1,1
50045,CONSOLIDATED,CONSOLIDATED,2,1,2,1,1
50046,CONTITECH CANADA,CONTITECH CANADA,4,1,8,0.5,0.5
50046,CONTITECH CANADA,CONTITECH CANADA INC,4,0.25,8,0.5,0.125
50047,CONVAL QUEBEC,CONVAL QUEBEC,4,1,4,1,1
