Material,Description,Configurable,Manufacturer,Mfr Part Number,Material Type,Material Group,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000000,ABSORBER SHOCK PCMC 30007829,NA,50184,30007829,ZER2,U25172011,U25172011,ABSORBER SHOCK PCMC 30007829,NA,PCMC,PCMC,NA,30007829,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000001,ACTUATOR LINEAR PCMC 30046223 340MM,NA,50184,30046223,ZER2,U31251511,U31251511,ACTUATOR LINEAR PCMC 30046223 340MM,NA,PCMC,PCMC,NA,30046223,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000002,ACTUATOR LINEAR PCMC 30290059 340MM,NA,50184,30290059,ZER2,U31251511,U31251511,ACTUATOR LINEAR PCMC 30290059 340MM,NA,PCMC,PCMC,NA,30290059,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000003,AIR CONDITIONER PCMC 30200797,NA,50184,30200797,ZER2,U40101701,U40101701,AIR CONDITIONER PCMC 30200797,NA,PCMC,PCMC,NA,30200797,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000004,AIR CONDITIONER PCMC 30348774 4900BTM,NA,50184,30348774,ZER2,U40101701,U40101701,AIR CONDITIONER PCMC 30348774 4900BTM,NA,PCMC,PCMC,NA,30348774,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000005,ARBOR BLADE PCMC 30502995,NA,50184,30502995,ZER2,U23231202,U23231202,ARBOR BLADE PCMC 30502995,NA,PCMC,PCMC,NA,30502995,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000006,BEARING BALL INFINITY 511-0251 20MM 42MM,NA,50113,511-0251,ZER2,U31171504,U31171504,BEARING BALL INFINITY 511-0251 20MM 42MM,GRP-PD-38,INFINITY,INFINITY,NA,511-0251,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000007,BEARING BALL INFINITY 511-0251A 20MM,NA,50113,511-0251A,ZER2,U31171504,U31171504,BEARING BALL INFINITY 511-0251A 20MM,GRP-PD-40,INFINITY,INFINITY,NA,511-0251A,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000008,BEARING BALL INFINITY 511-0323 25MM 52MM,NA,50113,511-0323,ZER2,U31171504,U31171504,BEARING BALL INFINITY 511-0323 25MM 52MM,GRP-PD-42,INFINITY,INFINITY,NA,511-0323,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000009,BEARING BALL INFINITY 511-0345 12MM 28MM,NA,50113,511-0345,ZER2,U31171504,U31171504,BEARING BALL INFINITY 511-0345 12MM 28MM,GRP-PD-44,INFINITY,INFINITY,NA,511-0345,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000010,BEARING BALL PCMC 10117A1774 50MM 72MM,NA,50184,10117A1774,ZER2,U31171504,U31171504,BEARING BALL PCMC 10117A1774 50MM 72MM,NA,PCMC,PCMC,NA,10117A1774,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000011,BEARING BALL PCMC 123359.001.0 25MM 52MM,NA,50184,123359.001.0,ZER2,U31171504,U31171504,BEARING BALL PCMC 123359.001.0 25MM 52MM,NA,PCMC,PCMC,NA,123359.001.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000012,BEARING BALL PCMC 150410.005.5 95MM,NA,50184,150410.005.5,ZER2,U31171504,U31171504,BEARING BALL PCMC 150410.005.5 95MM,NA,PCMC,PCMC,NA,150410.005.5,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000013,BEARING BALL PCMC 160001.101.2 12MM 32MM,NA,50184,160001.101.2,ZER2,U31171504,U31171504,BEARING BALL PCMC 160001.101.2 12MM 32MM,NA,PCMC,PCMC,NA,160001.101.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000014,BEARING BALL PCMC 160005.007.2 35MM 72MM,NA,50184,160005.007.2,ZER2,U31171504,U31171504,BEARING BALL PCMC 160005.007.2 35MM 72MM,NA,PCMC,PCMC,NA,160005.007.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000015,BEARING BALL PCMC 160005.008.2 40MM 80MM,NA,50184,160005.008.2,ZER2,U31171504,U31171504,BEARING BALL PCMC 160005.008.2 40MM 80MM,NA,PCMC,PCMC,NA,160005.008.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000016,BEARING BALL PCMC 160005.010.2 50IN 90MM,NA,50184,160005.010.2,ZER2,U31171504,U31171504,BEARING BALL PCMC 160005.010.2 50IN 90MM,NA,PCMC,PCMC,NA,160005.010.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000017,BEARING BALL PCMC 160006.012.2 190MM,NA,50184,160006.012.2,ZER2,U31171504,U31171504,BEARING BALL PCMC 160006.012.2 190MM,NA,PCMC,PCMC,NA,160006.012.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
