MATERIAL_NUMBER,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000000,U25172011,ABSORBER SHOCK PCMC 30007829,NA,PCMC,PCMC,NA,30007829,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000001,U31251511,ACTUATOR LINEAR PCMC 30046223 340MM,NA,PCMC,PCMC,NA,30046223,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000002,U31251511,ACTUATOR LINEAR PCMC 30290059 340MM,NA,PCMC,PCMC,NA,30290059,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000003,U40101701,AIR CONDITIONER PCMC 30200797,NA,PCMC,PCMC,NA,30200797,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000004,U40101701,AIR CONDITIONER PCMC 30348774 4900BTM,NA,PCMC,PCMC,NA,30348774,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000005,U23231202,ARBOR BLADE PCMC 30502995,NA,PCMC,PCMC,NA,30502995,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000006,U31171504,BEARING BALL INFINITY 511-0251 20MM 42MM,GRP-PD-38,INFINITY,INFINITY,NA,511-0251,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000007,U31171504,BEARING BALL INFINITY 511-0251A 20MM,GRP-PD-40,INFINITY,INFINITY,NA,511-0251A,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000008,U31171504,BEARING BALL INFINITY 511-0323 25MM 52MM,GRP-PD-42,INFINITY,INFINITY,NA,511-0323,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000009,U31171504,BEARING BALL INFINITY 511-0345 12MM 28MM,GRP-PD-44,INFINITY,INFINITY,NA,511-0345,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,NA,INFINITY                 	50113,23
90000010,U31171504,BEARING BALL PCMC 10117A1774 50MM 72MM,NA,PCMC,PCMC,NA,10117A1774,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000011,U31171504,BEARING BALL PCMC 123359.001.0 25MM 52MM,NA,PCMC,PCMC,NA,123359.001.0,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000012,U31171504,BEARING BALL PCMC 150410.005.5 95MM,NA,PCMC,PCMC,NA,150410.005.5,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000013,U31171504,BEARING BALL PCMC 160001.101.2 12MM 32MM,NA,PCMC,PCMC,NA,160001.101.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
