Name 1                   ,Vendor    
3M                       ,50000
ACE                      ,50001
AIRMAX INDUSTRIES        ,50002
ALKON                    ,50003
ALLEN-BRADLEY            ,50004
ALLIANCE                 ,50005
ALPHA                    ,50006
AMPHENOL                 ,50007
ANDERTON                 ,50008
ANSELL                   ,50009
ARKTITE                  ,50010
ARPAC                    ,50011
ASCO                     ,50012
ASSOCIATED SPRINGS       ,50013
AUBURN                   ,50014
AUTOMATION CONTROLS GROUP,50015
BALDOR                   ,50016
BALEMASTER               ,50017
BALLUFF                  ,50018
BANDO                    ,50019
BANNER ENGINEERING       ,50020
BARKSDALE                ,50021
BHS                      ,50022
BIMBA                    ,50023
BISHOP WISECARVER        ,50024
BONDHUS                  ,50025
BOSCH REXROTH            ,50026
BRADY                    ,50027
BRECOFLEX                ,50028
BRETTING                 ,50029
BREWER                   ,50030
BUSSMANN                 ,50031
C&M CONVEYOR             ,50032
CAMCORP                  ,50033
CARDONE                  ,50034
CARLISLE                 ,50035
CARLO GAVAZZI            ,50036
CHEMLINE                 ,50037
CHENGDU WEST IND         ,50038
CHICAGO RAWHIDE          ,50039
CLIMAX                   ,50040
CLIPPARD                 ,50041
COMBIFLEX                ,50042
CONDOR                   ,50043
CONDUCTIX                ,50044
CONSOLIDATED             ,50045
CONTITECH CANADA         ,50046
CONVAL QUEBEC            ,50047
CROUZET                  ,50048
CURTIS ALBRIGHT          ,50049
DAEMAR                   ,50050
DANAHER                  ,50051
DARNELL ROSE             ,50052
DELTA                    ,50053
DELTROL                  ,50054
DEUBLIN                  ,50055
DIAKONT                  ,50056
DIENES                   ,50057
DIMAR                    ,50058
DISCA AUTOMATION         ,50059
DODGE                    ,50060
DONALDSON                ,50061
DUA-L-VEE                ,50062
DUCKER                   ,50063
DWYER                    ,50064
DYNABLAST                ,50065
DYNAPAR                  ,50066
DYNATEC                  ,50067
EASY MOVER               ,50068
EDSON                    ,50069
EDWARDS                  ,50070
EFECTOR                  ,50071
ELGO                     ,50072
ENDRESS HAUSER           ,50073
ENDURA VEYOR             ,50074
ENTRELEC                 ,50075
EURODRIVE                ,50076
EZY FILTERS              ,50077
FABCO-AIR                ,50078
FALK                     ,50079
FANUC                    ,50080
FEDERAL                  ,50081
FESTO                    ,50082
FIFE                     ,50083
FINDER                   ,50084
FINITE                   ,50085
FLOWSERVE                ,50086
FLUKE                    ,50087
FOSTER                   ,50088
GARDNER SPRING           ,50089
GATES                    ,50090
GE                       ,50091
GENERAL PUMP             ,50092
GOPFERT                  ,50093
GRAY TOOLS               ,50094
GRECON                   ,50095
GUARDMASTER              ,50096
HANKISON                 ,50097
HASKEL                   ,50098
HBC RADIOMATIC           ,50099
HIBRK                    ,50100
HITACHI                  ,50101
HIWIN                    ,50102
HMI                      ,50103
HOFFMANN                 ,50104
HONEYWELL                ,50105
HUB CITY                 ,50106
HUBBEL                   ,50107
IDEC                     ,50108
IGUS                     ,50109
ILME                     ,50110
IMI PRECISION ENGINEERING,50111
INA                      ,50112
INFINITY                 ,50113
INGERSOLL RAND           ,50114
INNOVATIVE CONTROL       ,50115
ITOH DENKI               ,50116
JASON INDUSTRIAL CANADA  ,50117
JDB BEARINGS             ,50118
JOHN DEERE               ,50119
JOHNSONS CONTROLS        ,50120
JOKAB SAFETY             ,50121
JOYCE                    ,50122
KEEPKLEEN                ,50123
KEYENCE                  ,50124
KILIAN MANUFACTURING     ,50125
KIPP                     ,50126
KLEEN-RITE               ,50127
KOYO CA                  ,50128
LEGRIS                   ,50129
LENNOX                   ,50130
LEPAGE                   ,50131
LG                       ,50132
LINDE                    ,50133
LITTELFUSE               ,50134
LOCTITE                  ,50135
MAG BROOKE               ,50136
MAHLE                    ,50137
MARATHON                 ,50138
MARATHON ELECTRIC        ,50139
MARQUIPWARDUNITED        ,50140
MARTIN SPROCKET & GEAR   ,50141
MAXCESS-FIFE             ,50142
MAXFIT                   ,50143
MAXON                    ,50144
MBL                      ,50145
MCGILL                   ,50146
MCMASTER-CARR            ,50147
MENCOM                   ,50148
METTLER TOLEDO           ,50149
MHI                      ,50150
MICO                     ,50151
MILLER BEARING           ,50152
MILWAUKEE                ,50153
MINARIK                  ,50154
MISUMI                   ,50155
MOLEX                    ,50156
