MATNR,MAKTX_EN,MAKTX_FR,MFRNR,MFRPN,normVendors,Z011VendorNo,Z011VendorName,n,weight,N,prob,weightedScore
NA,TAPERING DEVICE BEMA 292000306,DISPOSITIF TAPERING BEMA 292000306,BEMA,292000306,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,BUSHING BEMA 301001019,DOUILLE BEMA 301001019,BEMA,301001019,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,ROLLER BEMA 301001065,ROULEAU BEMA 301001065,BEMA,301001065,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,SPROCKET BEMA 309000072,PIGNON BEMA 309000072,BEMA,309000072,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,BUFFER BEMA 318000479,BUTEE BEMA 318000479,BEMA,318000479,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,PULLEY DRIVE D30 BEMA 319000106,POULIE MOTRICE BEMA 319000106,BEMA,319000106,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,CUTTING WIRE TIE-BEAM BEMA 323000629,CUTTING WIRE TIE-BEAM BEMA 323000629,BEMA,323000629,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,REEL CENTERING UPPER CONE BEMA 333000153,CONE CENTRAG BOBINE HT BEMA 333000153,BEMA,333000153,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,BRUSH WRAPPING HEAD BEMA 335000228,BROSSE TETE EMBALLAGE BEMA 335000228,BEMA,335000228,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,CHAIN 1/2IN WITRA 12 BEMA 403000002,CHAINE 1/2PO WITRA12 BEMA 403000002,BEMA,403000002,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,CHAIN 1/2IN WITRA 10 BEMA 403000025,CHAINE 1/2PO WITRA10 BEMA 403000025,BEMA,403000025,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,CHAIN 1/2IN WITRA 12.7 BEMA 403102001,CHAINE 1/2PO WITRA12.7 BEMA 403102001,BEMA,403102001,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,JOINT FOR CHAIN 1/2IN BEMA 404102001,JOINT  CHAINE 1/2PO BEMA 404102001,BEMA,404102001,BEMA,NA,NA,NA,NA,NA,NA,NA
NA,GEARMOTOR AC BEMA 405000209,MOTOREDUCTEUR AC BEMA 405000209,BEMA,405000209,BEMA,NA,NA,NA,NA,NA,NA,NA
