VENDOR,NAME,dist,MFRNR,n
50049,ALBRIGHT,0,ALBRIGHT,1
50465,BECKHOFF,0,BECKHOFF,24
50466,BEMA,0,BEMA,71
50467,BREVETTI,0,BREVETTI,3
50468,CFR,0,CFR,1
50469,FELTRO,0,FELTRO,1
50470,HARTING,0,HARTING,1
50471,IFM ELECTRONIC,0,IFM ELECTRONIC,1
50472,INMOTION CONTROLS,0,INMOTION CONTROLS,1
50473,KRONES,0,KRONES,1
50474,LEUZE,0,LEUZE,1
50475,MEGADYNE,0,MEGADYNE,2
50476,PILZ,0,PILZ,5
50477,PNEUMAX,0,PNEUMAX,1
50478,SCHWARZMUELLER INVERTER,23,schwarzmueller-inverter,2
50221,SEW EURODRIVE,0,SEW EURODRIVE,6
NA,NA,NA,THOMSON LINEAR,1
