MATNR,VKORG,VTWEG,WERKS,LGORT,LGNUM,LGTYP,DISPR,MBRSH,MTART,MAKTX_FR,MAKTX_EN,MEINS,MATKL,BISMT,SPART,PRDHA,MSTAE,MSTDE,MTPOS_MARA,BRGEW,NTGEW,GEWEI,VOLUM,VOLEH,GROES,MAGRV,SATNR,NA,KLART,CLASS,ZER0A,VRKME,MEGRU,MSTAV,MSTDV,VMSTA,VMSTD,SKTOF,ALAND,TATYP,TAXM1,SCMNG,SCHME,RDPRF,VERSG,KONDM,KTGRM,MTPOS,PMATN,PRODH,MVGR1,MTVFP,XCHPF,TRAGR,LADGR,VHART,ERGEW,ERGEI,GEWTO,XMCNG,PRCTR,STAWN,MTVER,HERKL,HERKR,ZEROB,BSTME,VABME,EKGRP,MMSTA,MMSTD,TAXIM,KAUTB,EKWSL,WEBAZ,ZEROC,ZEROD,DISGR,MAABC,DISMM,MINBE,FXHOR,DISPO,DISLS,BSTMI,BSTMA,BSTFE,MABST,BSTRF,BESKZ,SOBSL,LGPRO,RGEKZ,LGFSB,KZKUP,SCHGT,DZEIT,PLIFZ,MRPPP,FHORI,EISBE,PERKZ,STRGR,VRMOD,VINT1,VINT2,MISKZ,WZEIT,STDPD,NA_B,NA_C,ALTSL,KAUSF,SBDKZ,AHDIS,LSOBS,PRMOD,PERAN,ANZPR,KZINI,SIGGR,MODAV,AUSME,FEVOR,SFCPF,UEETK,LGPBE,RAUBE,ABCIN,ETIAR,ETIFO,IPRKZ,LOGGR,LVSME,VOMEM,LTKZA,LTKZE,LGBKZ,BSSKZ,LHMG1,LHME1,LETY1,LGPLA,BWKEY,BWTTY,BKLAS,MLMAA,MLAST,VERPR_EN,VERPR_FR,PEINH,VPRSV,NCOST,EKALR,HRKFT,HKMAT,KOSGR,AWSLS,LOSGR,MEINH,KZWSM,DPCBT,XPRGI,XGRDT,ATNAM,ATWRT,MSEHL,XFHDW,XPCBU,ZEROE,ZEROF,SERNP,PCMC,MFRNR,MFRPN
,,,1715,7000,,,,Z,ZER2,DISPOSITIF TAPERING BEMA 292000306,TAPERING DEVICE BEMA 292000306,EA,U31162313,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,TAPERING DEVICE BEMA 292000306,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 292000306,BEMA,292000306
,,,1715,7000,,,,Z,ZER2,DOUILLE BEMA 301001019,BUSHING BEMA 301001019,EA,U31171603,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 301001019,BEMA,301001019
,,,1715,7000,,,,Z,ZER2,ROULEAU BEMA 301001065,ROLLER BEMA 301001065,EA,U31162313,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 301001065,BEMA,301001065
,,,1715,7000,,,,Z,ZER2,PIGNON BEMA 309000072,SPROCKET BEMA 309000072,EA,U31171901,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 309000072,BEMA,309000072
,,,1715,7000,,,,Z,ZER2,BUTEE BEMA 318000479,BUFFER BEMA 318000479,EA,U31162313,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 318000479,BEMA,318000479
,,,1715,7000,,,,Z,ZER2,POULIE MOTRICE BEMA 319000106,PULLEY DRIVE D30 BEMA 319000106,EA,U26111806,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 319000106,BEMA,319000106
,,,1715,7000,,,,Z,ZER2,CUTTING WIRE TIE-BEAM BEMA 323000629,CUTTING WIRE TIE-BEAM BEMA 323000629,EA,U31162313,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 323000629,BEMA,323000629
,,,1715,7000,,,,Z,ZER2,CONE CENTRAG BOBINE HT BEMA 333000153,REEL CENTERING UPPER CONE BEMA 333000153,EA,U31162313,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 333000153,BEMA,333000153
,,,1715,7000,,,,Z,ZER2,BROSSE TETE EMBALLAGE BEMA 335000228,BRUSH WRAPPING HEAD BEMA 335000228,EA,U27113000,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 335000228,BEMA,335000228
,,,1715,7000,,,,Z,ZER2,CHAINE 1/2PO WITRA12 BEMA 403000002,CHAIN 1/2IN WITRA 12 BEMA 403000002,EA,U31162313,,,,,,,,,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1551,,,,,,,,1B3,,,,,,1,,,9000,A,PD,,,900,EX,,,,,,F,,7000,,7000,,,,7,,1,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,A,CX,CA,D,,,,,,,,,,,,1715,,3040,X,2,,0.01,1,V,,,,,,,,,,,,,,,,,,,,,BEMA / 403000002,BEMA,403000002
